0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
DAGSR,BUJR,,Буйнакск,121,50,42.89,47.13,460,Песчаник,16/07/2003,0,15,33.8,-1,42.94,,46.4,,15,,3.4,OBGSR,,,,NCA20 0017,2990018.30,2020,1,3,14,33,38.3,0.28,43.70,40.34,10.0,6.1,2.4,1.2,6,,OBGSR,
DAGSR,DRN,,Дербент,121,50,43.073,48.3318,-20,Известняк,16/07/2003,14,54,57.2,-1,43.85,,44.2,,14,,3.5,OBGSR,,,,NCA20 0018,2997324.00,2020,1,3,16,35,24.0,,43.15,46.02,6.0,6.8,,1.6,8,,DAGSR,
OBGSR,DVE,,Ведено,110,50,43.292,46.1261,800,,31/07/2003,16,56,10.6,-1,42.43,,48.16,,9,,3.1,OBGSR,,,,NCA20 0019,3003996.00,2020,1,3,18,26,36.0,0.37,44.06,40.06,10.0,5.6,2.1,0.9,5,,OBGSR,
DAGSR,GNBR,GNB,Гуниб,108,40,42.0204,46.9638,1210,Известняк,01/08/2003,4,58,23.7,-1,42.4,,48.22,,14,,3.8,OBGSR,,,,NCA20 0020,3031387.10,2020,1,4,2,3,7.1,0.44,44.13,39.62,11.8,6.1,2.7,1.2,6,,OBGSR,
DAGSR,ARKR,ARK,Аракани,103,50,41.9976,46.9942,760,Известняк,23/08/2003,13,58,28.6,0.7,43.18,0.15,46.94,0.15,9,0,3.1,OBGSR,,,,NCA20 0021,3037320.32,2020,1,4,3,42,0.3,,42.84,46.92,3.0,4.7,,0.4,7,,DAGSR,
DAGSR,DLMR,DLM,Дылым,103,50,42.9569,46.6187,660,Делювий,24/08/2003,8,52,53.9,0.3,42.13,0.77,40.69,0.77,9,13,3.2,OBGSR,,,,NCA20 0022,3038565.47,2020,1,4,4,2,45.5,,41.15,47.40,9.0,8.2,,2.3,14,,DAGSR,
OBGSR,GOF,,Гофицкое,103,40,45.7146,43.043,293,Песчано-глинистые осадки,06/09/2003,17,5,22.5,0.7,42.89,0.2,46.7,0.2,7,0,3.5,OBGSR,,,"Ощущалось в Дубках.
 Дылыме. Кизилюрте 
силой 3 - 4 балла.",NCA20 0023,3044685.96,2020,1,4,5,44,46.0,,41.24,47.19,18.0,7.1,,1.7,5,,DAGSR,
OBGSR,ZEI,,Цей,101,40,43.944,43.9014,1926,"Ледниковые отложения, ниже по разрезу гранитоиды и сланцы",07/09/2003,11,50,29.8,0.6,43.35,0.16,45.13,0.16,13,0,3.1,OBGSR,,,,NCA20 0024,3054352.81,2020,1,4,8,25,52.8,,43.04,45.68,9.0,6.2,,1.2,8,,DAGSR,
DAGSR,UNCR,UNC,Унцукуль,93,50,44.5803,46.7929,780,Песчаник,17/09/2003,3,2,3.1,0.9,43.72,0.23,45.23,0.23,8,0,3.1,OBGSR,,,,NCA20 0025,3063019.77,2020,1,4,10,50,19.8,,42.80,46.74,3.0,3.7,,-0.2,3,,DAGSR,
DAGSR,KRNR,KRN,Каранай,91,50,44.5485,46.9053,1250,Известняк,28/09/2003,3,44,26.2,0.8,42.73,0.36,48.45,0.36,28,0,3.8,OBGSR,,,"Ощущалось в Махачкале 
силой 3 балла.",NCA20 0026,3066875.20,2020,1,4,11,54,35.2,0.40,44.19,42.94,7.6,6.0,2.5,1.1,7,,CWGSR,
KMGSR,PYA1,,Пятигорск,90,50,42.3893,43.0958,614,,04/10/2003,1,23,52.1,0.1,41.41,,48.57,,17,,4,DAGSR,Дагестан,,,NCA20 0027,3069423.59,2020,1,4,12,37,3.6,,42.89,45.58,18.0,6.6,,1.4,7,,DAGSR,
KMGSR,NCK,,Нальчик,85,50,45.058,43.5956,500,,06/10/2003,23,36,54.5,0.7,43.38,0.2,45.85,0.2,7,0,3.2,OBGSR,,,,NCA20 0028,3074042.00,2020,1,4,13,54,2.0,0.23,43.16,43.84,14.6,5.0,2.4,0.6,4,,NOGSR,
DAGSR,SGKR,SGK,Сергокала,82,50,45.0838,47.6556,560,Известняк,13/10/2003,19,46,17.3,0.9,42.41,0.31,48.07,0.31,9,0,3.3,OBGSR,,,,NCA20 0029,3083148.90,2020,1,4,16,25,48.9,,40.98,47.51,24.0,7.1,,1.7,5,,DAGSR,
OBGSR,GRO,,Грозный,81,50,44.2471,45.6625,150,Галечники,13/10/2003,19,50,28,0.7,42.42,0.28,48.11,0.28,10,0,3.1,OBGSR,,,,NCA20 0030,3085392.10,2020,1,4,17,3,12.1,0.82,43.81,41.18,0.0,5.4,2.1,0.8,8,взрыв,OBGSR,
DAGSR,KMKR,,Кумух,81,50,43.3396,47.0977,1898,Аргиллит,25/10/2003,6,42,52.9,0.9,43.59,0.39,38.85,0.39,8,0,3.9,OBGSR,,,"Ощущалось в Туапсе.
 Лазаревском силой 3 балла.",NCA20 0031,3087933.48,2020,1,4,17,45,33.5,,41.03,47.49,18.0,7.5,,1.9,9,,DAGSR,
KMGSR,KBTC,KBT,Куба-Таба,78,40,43.2027,43.4084,687,Глина,25/10/2003,7,40,40.7,0.7,43.75,0.14,39,0.14,2,1,3.3,OBGSR,,,,NCA20 0032,3092626.60,2020,1,4,19,3,46.6,,45.48,32.88,23.0,4.4,,0.2,,,Крым,
DAGSR,DBC,DBK,Дубки,77,40,44.1165,46.841,850,Известняк,26/10/2003,8,9,7.2,0.7,43.03,0.2,46.09,0.2,72,5,3.9,OBGSR,,,,NCA20 0033,3098170.10,2020,1,4,20,36,10.1,,44.06,33.72,32.0,6.6,,1.4,,,Крым,
KMGSR,DOMR,DOM,Домбай,72,40,43.9963,41.624,1608,,28/10/2003,17,13,29.9,0.6,43.6,0.28,38.88,0.28,7,0,3.4,OBGSR,,,"Ощущалось в Туапсе 
силой 2-3 балла.",NCA20 0034,3098735.05,2020,1,4,20,45,35.1,,41.55,47.86,33.0,6.8,,1.6,5,,DAGSR,
DAGSR,KSMR,KSM,Касумкент,70,50,42.5582,48.1246,930,Аллювий,28/12/2003,5,41,26.7,0.2,43.27,,48.81,,9,,3.7,DAGSR,Дагестан,,,NCA20 0035,3104422.02,2020,1,4,22,20,22.0,,42.96,47.65,9.0,6.5,,1.4,17,,DAGSR,
KMGSR,ERBR,ERB,Еремизино-Борисовская,69,40,43.196,40.4835,286,,05/01/2004,15,47,17.5,0.7,42.43,0.02,43.88,0.02,11,,3.2,OBGSR,Россия-Грузия - пригр.обл.,,,NCA20 0036,3109539.63,2020,1,4,23,45,39.6,,41.59,47.81,9.0,4.4,,0.2,3,,DAGSR,
OBGSR,SOC,,Сочи,65,20,43.8166,39.763,180,Глинистые сланцы,07/01/2004,5,53,42.4,0.8,42.12,0.02,46.09,0.02,23,,3.1,OBGSR,Дагестан,,,NCA20 0037,3111578.50,2020,1,5,0,19,38.5,,41.95,47.18,18.0,5.9,,1.1,11,,DAGSR,
OBGSR,ANN,,Анапа,64,20,43.72861,37.314,58,"Суглинок, аллювий, глины сланцеватые, песчаники",13/01/2004,22,25,56.2,0.8,42.11,0.02,45.32,0.02,17,,3.3,OBGSR,Россия-Грузия - пригр.обл.,,,NCA20 0038,3116244.00,2020,1,5,1,37,24.0,0.92,42.85,45.24,3.9,7.7,3.3,2.1,34,,OBGSR,
KMGSR,BEYR,BEY,Белый Уголь,61,50,45.0216,42.818,681,Мергелистые известняки,14/01/2004,13,11,36.5,0.9,44.12,0.04,40.88,0.04,13,1,3.3,OBGSR,Краснодарский край,,,NCA20 0039,3116533.60,2020,1,5,1,42,13.6,,42.65,45.87,6.0,4.2,,0.1,5,,DAGSR,
OBGSR,KIV0,KIV1 KIV2 KIV3 KIV4 KIVB,Кисловодская группа,57,40,43.955,42.695,1196,Известняк,18/01/2004,2,29,39.4,0.6,44.71,0.03,36.78,0.03,20,,3.1,OBGSR,Чёрное море,,,NCA20 0040,3119538.61,2020,1,5,2,32,18.6,,40.90,46.52,30.0,8.1,,2.3,11,,DAGSR,
KMGSR,SHA1,SHA,Шиджатмаз,57,100,43.956,42.6571,2120,Известняк,20/01/2004,19,14,35.1,0.9,42.1,0.02,46.3,0.02,13,,3.3,OBGSR,Дагестан,,Ощущалось: Тлярат - 2-3 балла,NCA20 0041,3124077.60,2020,1,5,3,47,57.6,,45.49,32.89,24.0,5.0,,0.6,,,Крым,
KMGSR,ARXR,,Архыз,55,100,43.0572,41.2747,1501,,21/01/2004,19,40,9.1,0.7,43.13,0.01,45.94,0.01,7,,3.1,OBGSR,Чеченская и Ингушская республики,,,NCA20 0042,3131956.32,2020,1,5,5,59,16.3,,40.98,48.17,18.0,7.6,,2.0,6,,DAGSR,
DAGSR,KANR,,Караман,54,50,42.1287,47.489,-25,,30/01/2004,5,9,27.9,0.7,43.12,0.04,36.89,0.04,7,1,3.6,OBGSR,Чёрное море,,,NCA20 0043,3132715.71,2020,1,5,6,11,55.7,,42.97,46.66,9.0,4.1,,0.1,6,,DAGSR,
OBGSR,RPOR,,Красная Поляна,53,50,43.3708,40.2662,600,,04/02/2004,6,55,33.8,0.7,42.15,0.02,42.64,0.02,1,,3.6,OBGSR,Россия-Грузия - пригр.обл.,,,NCA20 0044,3145199.70,2020,1,5,9,39,59.7,0.66,40.73,47.68,20.0,8.0,3.6,2.2,10,,OBGSR,
KMGSR,NEY,,Нейтрино,52,50,43.0861,42.7222,1715,,05/02/2004,20,13,40.5,1,41.2,0.03,47.42,0.03,2,,3.3,OBGSR,Россия-Азербайджан пригр.обл.,,,NCA20 0045,3179328.19,2020,1,5,19,8,48.2,,42.01,48.14,15.0,4.9,,0.5,5,,DAGSR,
OBGSR,KGUR,,Краснодар,44,40,42.8267,39.0297,66,,08/02/2004,12,54,10.9,0.8,41.29,0.03,47.42,0.03,7,,3.8,OBGSR,Дагестан,,,NCA20 0046,3180431.13,2020,1,5,19,27,11.1,,42.52,47.89,6.0,6.1,,1.2,7,,DAGSR,
KMGSR,ALER,,Александровское,42,50,41.6023,42.9136,510,,08/02/2004,13,46,25.8,0.6,41.3,0.02,47.44,0.02,6,,3.5,OBGSR,Дагестан,,,NCA20 0047,3181238.28,2020,1,5,19,40,38.3,,41.66,47.90,6.0,5.7,,0.9,4,,DAGSR,
NOGSR,TRKR,,Терская,42,50,44.6413,44.7321,140,"Глина, суглинок, песчано-валунно-галечные отложения",08/02/2004,21,44,24.7,0.8,41.26,0.03,47.41,0.03,8,,3.7,OBGSR,Россия-Азербайджан пригр.обл.,,,NCA20 0048,3183143.10,2020,1,5,20,12,23.1,0.49,43.21,43.73,8.4,5.3,2.5,0.7,6,,NOGSR,
OBGSR,LZRR,,Лазаревское,39,50,42.8255,39.3798,180,,18/02/2004,12,15,32.4,-0.2,40.89,0,48.46,0,10,,3.3,DAGSR,Россия-Азербайджан пригр.обл.,,,NCA20 0049,3193091.68,2020,1,5,22,58,11.7,,43.14,46.28,15.0,5.0,,0.6,6,,DAGSR,
OBGSR,GUZR,,Гузерипль,35,50,42.827,40.1184,822,,22/02/2004,2,2,12.1,0.7,43.04,0.03,45.94,0.03,31,,3.2,OBGSR,Чеченская и Ингушская республики,,,NCA20 0050,3197295.36,2020,1,6,0,8,15.4,,40.81,47.75,24.0,7.6,,2.0,6,,DAGSR,
OBGSR,VSLR,,Весёлое,32,50,43.2738,40.0324,340,,27/02/2004,23,15,46.9,1.1,43.01,0.06,48.1,0.06,14,1,3.4,OBGSR,Каспийское море,,Ощущалось: Каспийск - 2-3 балла .,NCA20 0051,3199944.27,2020,1,6,0,52,24.3,,41.59,47.82,48.0,6.1,,1.2,6,,DAGSR,
OBGSR,AHMR,,Ахметовская,27,50,43.278,41.044,640,,13/03/2004,23,6,30.8,0,42.82,0,50,0,38,,3.9,DAGSR,Каспийское море,,,NCA20 0052,3200043.82,2020,1,6,0,54,3.8,,41.47,47.77,15.0,6.6,,1.4,6,,DAGSR,
OBGSR,LABN,,Лабинск,27,50,43.268,40.7236,290,,20/03/2004,2,51,33.3,-0.3,40.74,0,48.15,0,20,,3.3,DAGSR,Россия-Азербайджан пригр.обл.,,,NCA20 0053,3201523.05,2020,1,6,1,18,43.1,,42.22,45.74,9.0,6.5,,1.4,12,,DAGSR,
OBGSR,GROC,,Грозный,26,100,43.935,45.7961,198,Галечники,28/04/2004,0,51,15.7,0.7,45.41,0.06,41.77,0.06,16,1,3.3,OBGSR,Ставропольский край,,,NCA20 0054,3206415.38,2020,1,6,2,40,15.4,,43.30,46.45,15.0,5.2,,0.7,7,,DAGSR,
SSC,KBZ,,Хабаз,26,40,42.946,42.8975,1079,,29/04/2004,19,49,27.7,0.9,41.99,0.05,45.88,0.05,13,1,3.6,OBGSR,Россия-Грузия -Азербайджан пригр. обл.,,,NCA20 0055,3206623.84,2020,1,6,2,43,43.8,,42.84,46.25,24.0,5.2,,0.7,10,,DAGSR,
OBGSR,KIV,,Кисловодск,22,40,43.4955,42.686,1054,Известняк,02/05/2004,9,7,11.6,0.8,41.96,0.03,46.08,0.03,8,,3.7,OBGSR,Россия-Грузия -Азербайджан пригр. обл.,,,NCA20 0056,3214773.04,2020,1,6,4,59,33.0,,42.95,46.64,15.0,5.2,,0.7,10,,DAGSR,
OBGSR,AGYR,,Агой,21,50,43.249,39.0372,55,,02/05/2004,9,7,28.6,1,42.11,0.04,45.93,0.04,7,1,4.1,OBGSR,Дагестан,,,NCA20 0057,3229495.68,2020,1,6,9,4,55.7,,40.97,48.36,9.0,7.8,,2.1,6,,DAGSR,
OBGSR,GOYR,,Гойтх,21,50,43.2631,39.377,300,,02/05/2004,9,35,11.6,0.8,42.07,0.02,46.01,0.02,13,1,3.2,OBGSR,Дагестан,,,NCA20 0058,3265227.61,2020,1,6,19,0,27.6,,43.23,46.46,6.0,6.0,,1.1,10,,DAGSR,
OBGSR,TPSR,TPS,Туапсе,21,50,43.2489,39.0962,80,,12/05/2004,3,42,2.1,0.7,41.67,0.06,47.55,0.06,4,1,4.1,OBGSR,Дагестан,,,NCA20 0059,3275138.20,2020,1,6,21,45,38.2,,41.98,47.37,15.0,8.6,,2.6,17,,DAGSR,
NOGSR,SNJ,,Сунжа,19,50,44.6143,44.8117,671,Песчано-валунно-галечные отложения,23/05/2004,2,49,9.5,0.9,41.6,0.51,49.7,0.51,15,4,3.3,OBGSR,Каспийское море,,,NCA20 0060,3276319.44,2020,1,6,22,5,19.4,,42.93,46.80,9.0,4.1,,0.1,5,,DAGSR,
OBGSR,SPGR,,Шапсуг,18,50,43.7515,38.073,100,"Суглинки плотные, маловлажные, с включениями щебня и гальки",26/05/2004,20,10,31,0.8,42.18,0.02,46.24,0.02,8,,3.1,OBGSR,Дагестан,,,NCA20 0061,3279103.54,2020,1,6,22,51,43.5,,42.95,47.09,15.0,5.1,,0.6,9,,DAGSR,
DAGSR,XNZR,,Хунзах,18,50,44.041,46.7053,1680,"Скала, известняк",31/05/2004,16,26,29.2,0.8,43.26,0.03,46.26,0.03,7,,3.6,OBGSR,Чеченская и Ингушская республики,,,NCA20 0062,3289493.20,2020,1,7,1,44,53.2,,42.02,47.36,15.0,6.3,,1.3,12,,DAGSR,
OBGSR,FSTR,,Фишт,15,50,44.0625,39.8705,1760,,01/06/2004,15,48,10.9,0.8,43.23,0.02,46.26,0.02,9,,3.6,OBGSR,Чеченская и Ингушская республики,,,NCA20 0063,3316132.40,2020,1,7,9,8,52.4,0.44,42.46,44.59,9.5,7.0,3.4,1.7,7,,NOGSR,
NOGSR,ARNR,,Ардон,14,40,43.683,44.2841,420,Песчано-валунно-галечные отложения,06/06/2004,9,53,28.1,1,43.42,0.03,46.02,0.03,7,,3.2,OBGSR,Чеченская и Ингушская республики,,,NCA20 0064,3325370.10,2020,1,7,11,42,50.1,0.52,40.22,48.98,15.4,8.6,4.0,2.6,9,,OBGSR,
OBGSR,GRYR,,Горное,14,100,43.6996,41.0936,740,Известняк,13/06/2004,17,20,7.5,-0.6,40.61,0,47.21,0,46,,3.2,DAGSR,Россия-Азербайджан пригр.обл.,,,NCA20 0065,3326943.74,2020,1,7,12,9,3.7,,43.59,46.83,9.0,6.4,,1.3,6,,DAGSR,
OBGSR,GOFR,,Гофицкое,10,100,42.4576,43.0485,225,Песчано-глинистые осадки,04/07/2004,19,33,10.7,0.7,42.88,0.03,45.64,0.03,47,,3.4,OBGSR,Чеченская и Ингушская республики,,,NCA20 0066,3332905.31,2020,1,7,13,48,25.3,,41.94,46.62,30.0,8.4,,2.4,13,,DAGSR,
OBGSR,NEUR,,Нейтрино,9,100,43.738,42.7016,1750,,06/07/2004,15,15,27.7,0.6,43.54,0.02,45.53,0.02,127,3,4.2,OBGSR,Чеченская и Ингушская республики,,,NCA20 0067,3345768.65,2020,1,7,17,22,48.7,,41.70,47.63,3.0,6.7,,1.5,12,,DAGSR,
OBGSR,VOZR,,Возрождение,9,50,43.0685,38.223,92,,17/07/2004,23,15,47.9,0.7,42.46,0.03,45.17,0.03,10,,3.6,OBGSR,Россия-Грузия - пригр.обл.,,,NCA20 0068,3365278.71,2020,1,7,22,47,58.7,,42.00,45.73,9.0,6.5,,1.4,9,,DAGSR,
NOGSR,KMSR,KMS,Комсомольская,8,50,43.57,44.2924,352,"Щебень, суглинок, делювиальные отложения",23/07/2004,3,18,0.5,0.7,43.39,0.03,45.44,0.03,121,4,3.4,OBGSR,Чеченская и Ингушская республики,,,NCA20 0069,3366126.65,2020,1,7,23,2,6.7,,41.85,46.64,9.0,7.0,,1.7,13,,DAGSR,
DAGSR,TLTR,,Тлярата,8,50,44.7422,46.354,1450,,26/07/2004,10,31,44.5,0.7,42.16,0.02,47.91,0.02,7,,3.2,OBGSR,Дагестан,,,NCA20 0070,3378630.63,2020,1,8,2,30,30.6,,42.91,46.89,6.0,3.7,,-0.2,4,,DAGSR,
OBGSR,GL1R,,Геленджик,7,50,43.3689,38.0696,60,,05/08/2004,7,46,21.6,0.7,43.11,0.04,45.69,0.04,93,5,3.6,OBGSR,Чеченская и Ингушская республики,,,NCA20 0071,3380125.96,2020,1,8,2,55,26.0,,40.29,45.86,0.0,7.9,,2.2,6,,DAGSR,
OBGSR,RP2R,,Эсто-Садок,2,50,42.106,40.2722,550,,09/08/2004,21,18,35.4,-0.7,42.36,0,47.7,0,7,,3.4,DAGSR,Дагестан,,,NCA20 0072,3391493.50,2020,1,8,6,4,53.5,,42.42,47.05,6.0,6.4,,1.3,11,,DAGSR,
DAGSR,BUJ,,Буйнакск,0,0,44.0781,47.136,360,Аллювий,09/08/2004,23,28,32.2,0.8,41.56,0.17,47.79,0.17,19,6,3.6,OBGSR,Дагестан,,,NCA20 0073,3418744.21,2020,1,8,13,39,4.2,,42.93,47.09,9.0,4.9,,0.5,6,,DAGSR,
NOGSR,DIGR,,Дигорское ущелье,0,0,43.7233,43.57,1903,"Алевролиты, аргиллиты с редкими прослоями песчаников и глинистых сланцев, ниже по разрезу гранитоиды",08/09/2004,20,21,44,0.8,43.56,0.03,45.39,0.03,25,1,3.6,OBGSR,Чеченская и Ингушская республики,,,NCA20 0074,3440881.46,2020,1,8,19,48,1.5,,41.57,46.64,9.0,6.7,,1.5,7,,DAGSR,
DAGSR,DRN,,Дербент,0,0,43.7224,48.3392,-21,Известняк,26/09/2004,17,15,28.2,0.8,42.92,0.02,44.31,0.02,11,,3.7,OBGSR,Северная Осетия,,,NCA20 0075,3448486.20,2020,1,8,21,54,46.2,0.26,42.55,43.45,10.7,6.2,2.7,1.2,5,,NOGSR,
OBGSR,GELR,,Геленджик,0,0,42.7155,37.9867,70,,30/09/2004,14,48,36.2,0.7,43.35,0.02,45.69,0.02,5,,3.6,OBGSR,Чеченская и Ингушская республики,,,NCA20 0076,3457099.20,2020,1,9,0,18,19.2,0.30,41.28,43.69,4.1,7.8,3.2,2.1,7,,NOGSR,
NOGSR,LACR,,Лац,0,0,42.1649,44.296,1276,"Алевролиты, аргиллиты с редкими прослоями песчаников и глинистых сланцев.",01/10/2004,18,51,58.1,0.9,45.72,0.04,38.22,0.04,31,1,3.1,OBGSR,Краснодарский край,,,NCA20 0077,3462072.49,2020,1,9,1,41,12.5,,42.78,46.01,9.0,5.4,,0.8,9,,DAGSR,
NOGSR,LSNR,,Лескен,0,0,43.0465,43.804,675,"Глины, суглинки, супесь.",05/10/2004,8,6,12.2,1,42.91,0.03,44.28,0.03,6,1,3.5,OBGSR,Северная Осетия,,,NCA20 0078,3465413.01,2020,1,9,2,36,53.0,,42.24,47.80,6.0,5.5,,0.8,7,,DAGSR,
NOGSR,LSNR,,Лескен,0,0,44.553,43.826,675,"Глины, суглинки, супесь.",05/10/2004,9,30,50.5,0.7,42.9,0.03,44.41,0.03,9,,3.7,OBGSR,Северная Осетия,,,NCA20 0079,3501670.29,2020,1,9,12,41,10.3,,42.47,47.82,15.0,7.0,,1.7,12,,DAGSR,
