DATE,TIME,NAME,Mw,R_EPI,R_HYP,H,PGA_ew,PGA_ns,PGV_ew,PGV_ns,SOIL
20061012,"211651,8",ARNR,"4,7","96,547","190,6775",164,"4,00E-04","3,52E-04","3,20E-05","2,18E-05","Лессовидный суглинок, глина"
20061012,"211651,8",BTKR,"4,7","69,458","178,6503",164,"1,03E-03","0,00E+00","3,26E-05","0,00E+00","Суглинки и супеси, ниже по разрезу глины"
20061222,"11115,3",VLKR,"4,1","90,513","92,8454",20,"3,82E-04","2,28E-04","1,98E-05","2,45E-05",Песчано-валунно-галечные отложения
20061222,"11115,3",ARNR,"4,1","121,698","123,4006",20,"1,24E-05","1,38E-05","1,12E-06","1,32E-06","Лессовидный суглинок, глина"
20061222,"11115,3",VLKR,"4,1","90,513","92,8454",20,"5,64E-04","6,13E-04","1,64E-05","1,55E-05",Песчано-валунно-галечные отложения
20061222,"11115,3",DIGR,"4,1","147,034","148,6564",20,"4,97E-05","0,00E+00","2,75E-06","0,00E+00","Алевролиты, аргиллиты с редкими прослоями песчаников и глинистых сланцев, ниже по разрезу гранитоиды"
20070111,"35834,8",ARNR,5,"351,361","352,1412",23,"3,92E-06","4,36E-06","4,21E-07","4,64E-07","Лессовидный суглинок, глина"
20070111,"35834,8",ARNR,5,"351,361","352,1412",23,"1,22E-04","1,35E-04","1,34E-05","1,47E-05","Лессовидный суглинок, глина"
20070630,"223036,4",ARNR,"4,8","336,203","336,6041",16,"7,56E-06","6,76E-06","8,15E-07","7,28E-07","Лессовидный суглинок, глина"
20070630,"223036,4",ARNR,"4,8","336,203","336,6041",16,"2,39E-04","2,14E-04","2,59E-05","2,30E-05","Лессовидный суглинок, глина"
20070724,"134130,4",ARNR,"4,6","440,541","442,3019",39,"2,20E-06","2,64E-06","1,65E-07","1,97E-07","Лессовидный суглинок, глина"
20070724,"134130,4",ARNR,"4,6","440,541","442,3019",39,"7,17E-05","8,20E-05","5,12E-06","6,06E-06","Лессовидный суглинок, глина"
20070805,"231056,2",VLKR,"4,3","136,119","137,3948",18,"1,83E-04","2,26E-04","1,25E-05","1,34E-05",Песчано-валунно-галечные отложения
20070805,"231056,2",VLKR,"4,3","136,119","137,3948",18,"1,89E-04","2,20E-04","1,29E-05","1,30E-05",Песчано-валунно-галечные отложения
20070805,"231056,2",LSNR,"4,3","210,899","211,7242",18,"3,30E-04","4,13E-04","1,59E-05","1,78E-05","Глины, суглинки, супесь,"
20070805,"231056,2",ARNR,"4,3","171,39","172,3779",18,"8,44E-06","6,52E-06","5,58E-07","5,72E-07","Лессовидный суглинок, глина"
20070805,"231056,2",ARNR,"4,3","171,39","172,3779",18,"2,64E-04","2,06E-04","1,78E-05","1,81E-05","Лессовидный суглинок, глина"
20070805,"231056,2",DIGR,"4,3","222,557","223,4452",18,"7,66E-05","1,03E-04","3,35E-06","4,45E-06","Алевролиты, аргиллиты с редкими прослоями песчаников и глинистых сланцев, ниже по разрезу гранитоиды"
20070805,"231056,2",BTKR,"4,3","158,381","159,4689",18,"6,69E-04","4,38E-04","3,20E-05","3,11E-05","Суглинки и супеси, ниже по разрезу глины"
20070805,"231056,2",PRTR,"4,3","197,368","198,1995",18,"7,77E-04","5,43E-04","3,23E-05","3,24E-05","Глина, суглинок, песчано-валунно-галечные отложения"
20080331,"201744,4",VLKR,"4,2","127,465","127,5915",5,"6,10E-04","5,24E-04","3,26E-05","3,47E-05",Песчано-валунно-галечные отложения
20080331,"201744,4",ARNR,"4,2","158,336","158,429",5,"2,72E-05","2,37E-05","1,83E-06","1,09E-06","Лессовидный суглинок, глина"
20080331,"201744,4",VLKR,"4,2","127,465","127,5915",5,"5,81E-04","0,00E+00","1,67E-05","0,00E+00",Песчано-валунно-галечные отложения
20080331,"201744,4",LSNR,"4,2","196,86","196,9418",5,"7,35E-04","8,87E-04","2,28E-05","3,18E-05","Глины, суглинки, супесь,"
20080331,"201744,4",ARNR,"4,2","158,336","158,429",5,"9,01E-04","7,44E-04","3,22E-05","3,21E-05","Лессовидный суглинок, глина"
20080331,"201744,4",SNJ,"4,2","116,29","116,4282",5,"3,60E-06","0,00E+00","9,56E-08","0,00E+00",Песчано-валунно-галечные отложения
20080425,151804,VLKR,"4,4","297,113","297,5265",15,"2,32E-05","2,49E-05","1,74E-06","1,74E-06",Песчано-валунно-галечные отложения
20080425,151804,ARNR,"4,4","331,518","331,8768",15,"3,68E-06","2,88E-06","7,56E-08","7,41E-08","Лессовидный суглинок, глина"
20080425,151804,VLKR,"4,4","297,113","297,5265",15,"2,26E-05","2,58E-05","1,70E-06","1,79E-06",Песчано-валунно-галечные отложения
20080425,151804,ARNR,"4,4","331,518","331,8768",15,"1,06E-04","9,25E-05","2,36E-06","2,35E-06","Лессовидный суглинок, глина"
20080425,151804,SNJ,"4,4","286,656","287,084",15,"4,29E-04","5,79E-04","1,27E-05","1,41E-05",Песчано-валунно-галечные отложения
20081002,"200210,5",VLKR,"4,2","137,116","137,2336",5,"1,20E-04","1,47E-04","9,97E-06","1,29E-05",Песчано-валунно-галечные отложения
20081002,"200210,5",VLKR,"4,2","137,116","137,2336",5,"1,17E-04","1,51E-04","9,73E-06","1,32E-05",Песчано-валунно-галечные отложения
20081002,"200210,5",DIGR,"4,2","222,416","222,5231",5,"4,96E-05","6,57E-05","1,76E-06","2,18E-06","Алевролиты, аргиллиты с редкими прослоями песчаников и глинистых сланцев, ниже по разрезу гранитоиды"
20081002,"200210,5",BTKR,"4,2","160,709","160,8064",5,"4,52E-04","5,17E-04","2,68E-05","3,24E-05","Суглинки и супеси, ниже по разрезу глины"
20081002,"200210,5",LSNR,"4,2","212,104","212,1799",5,"2,41E-04","2,12E-04","1,34E-05","9,69E-06","Глины, суглинки, супесь,"
20081002,"200210,5",ARNR,"4,2","172,673","172,7583",5,"0,00E+00","1,81E-04","0,00E+00","1,59E-05","Лессовидный суглинок, глина"
20081002,"200210,5",KORR,"4,2","186,28","186,3647",5,"3,11E-04","4,43E-04","3,20E-05","3,20E-05","Суглинки, глины с прослоями песков"
20081002,"200210,5",ARNR,"4,2","172,673","172,7583",5,"9,24E-06","5,72E-06","1,38E-06","5,08E-07","Лессовидный суглинок, глина"
20081002,"200210,5",PRTR,"4,2","200,586","200,6517",5,"4,02E-04","4,28E-04","2,87E-05","2,90E-05","Глина, суглинок, песчано-валунно-галечные отложения"
20081014,"150648,8",VLKR,"5,1","128,583","128,8122",7,"2,24E-03","2,44E-03","1,46E-04","1,75E-04",Песчано-валунно-галечные отложения
20081014,"150648,8",PRTR,"5,1","168,461","168,6121",7,"2,36E-04","1,99E-04","8,52E-06","9,89E-06","Глина, суглинок, песчано-валунно-галечные отложения"
20081014,"150648,8",ARNR,"5,1","159,169","159,3422",7,"1,51E-04","9,71E-05","1,10E-05","4,84E-06","Лессовидный суглинок, глина"
20081019,214652,VLKR,"4,5","125,473","125,7078",7,"7,41E-04","9,30E-04","3,38E-05","5,32E-05",Песчано-валунно-галечные отложения
20081019,214652,VLKR,"4,5","125,473","125,7078",7,"6,27E-04","0,00E+00","1,65E-05","0,00E+00",Песчано-валунно-галечные отложения
20081019,214652,DIGR,"4,5","216,159","216,3423",7,"3,82E-04","3,99E-04","8,93E-06","1,05E-05","Алевролиты, аргиллиты с редкими прослоями песчаников и глинистых сланцев, ниже по разрезу гранитоиды"
20081019,214652,LSNR,"4,5","192,597","192,7499",7,"1,00E-03","1,12E-03","3,03E-05","3,16E-05","Глины, суглинки, супесь,"
20081020,"62751,7",VLKR,"4,4","125,738","125,9153",6,"2,76E-04","3,40E-04","2,48E-05","2,48E-05",Песчано-валунно-галечные отложения
20081020,"62751,7",DIGR,"4,4","216,547","216,6912",6,"2,37E-04","2,63E-04","6,38E-06","5,43E-06","Алевролиты, аргиллиты с редкими прослоями песчаников и глинистых сланцев, ниже по разрезу гранитоиды"
20081020,"62751,7",VLKR,"4,4","125,738","125,9153",6,"6,18E-04","0,00E+00","1,63E-05","0,00E+00",Песчано-валунно-галечные отложения
20081020,"62751,7",KORR,"4,4","174,095","174,2207",6,"6,80E-04","1,04E-03","3,15E-05","3,23E-05","Суглинки, глины с прослоями песков"
20081020,"62751,7",LSNR,"4,4","194,267","194,3816",6,"8,32E-04","1,07E-03","2,14E-05","2,30E-05","Глины, суглинки, супесь,"
20081020,"62751,7",BTKR,"4,4","134,982","135,143",6,"0,00E+00","7,80E-04","0,00E+00","3,20E-05","Суглинки и супеси, ниже по разрезу глины"
20090517,"150348,4",VLKR,"4,4","120,882","121,0664",6,"8,73E-04","1,37E-03","6,53E-05","1,01E-04",Песчано-валунно-галечные отложения
20090517,"150348,4",LSNR,"4,4","190,432","190,5489",6,"4,33E-04","9,12E-04","1,24E-05","1,28E-05","Глины, суглинки, супесь,"
20090517,"150348,4",ARNR,"4,4","151,468","151,604",6,"3,55E-04","4,84E-04","1,73E-05","2,20E-05",Песчано-валунно-галечные отложения
20090517,"150348,4",DIGR,"4,4","211,682","211,8295",6,"7,66E-04","7,95E-04","1,00E-05","1,04E-05","Алевролиты, аргиллиты с редкими прослоями песчаников и глинистых сланцев, ниже по разрезу гранитоиды"
20090517,"150348,4",STDR,"4,4","170,169","170,2875",6,"2,41E-04","3,20E-04","1,11E-05","1,30E-05",Песчано-валунно-галечные отложения
20090720,"223508,6",VLKR,"4,4","247,627","249,9069",33,"4,20E-05","4,13E-05","2,26E-06","1,99E-06",Песчано-валунно-галечные отложения
20090720,"223508,6",VLKR,"4,4","247,627","249,9069",33,"4,14E-05","4,28E-05","2,21E-06","2,03E-06",Песчано-валунно-галечные отложения
